Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-08-02,166.08412170410156,34.362632751464844,0.0,0.0,167.3841757398536,34.887550826335634,165.0479922253592,34.294588227849935,165.0479922253592,34.634814554072896,0.0,0.0,14595600,34301600
2023-08-03,166.79769897460938,34.02241134643555,0.0,0.0,167.4623951723151,34.294589450599496,165.84953926882787,33.94464405487525,166.1232333163517,34.19738404429767,0.0,0.0,17424800,25676500
2023-08-04,165.2336883544922,34.04185485839844,0.0,0.0,168.7917252016757,34.35291662377665,164.10958908421108,33.69190944531076,166.50441899603004,33.97381032898125,0.0,0.0,23414300,25737500
2023-08-07,169.2023162841797,34.68341827392578,0.0,0.0,169.43690266263164,34.848668205229075,165.5465244294961,33.925205726725196,165.673601994629,34.03213018972516,0.0,0.0,17736400,31069100
2023-08-08,169.28050231933594,34.644535064697266,0.0,0.0,169.64218117923716,35.35414491798938,167.53081427545155,34.401517839262354,169.09479307422768,35.35414491798938,0.0,0.0,27378700,25225500
2023-08-09,169.17298889160156,34.838951110839844,0.0,0.0,170.3264116649545,35.05280746518609,168.17595206169514,34.51816657932048,169.10455792273817,34.60565293263042,0.0,0.0,42974400,17210500
2023-08-10,168.29324340820312,34.7223014831543,0.0,0.0,172.00768172697371,35.08196592946741,167.77517862038374,34.60565054801343,170.08203905707649,34.81950688762319,0.0,0.0,48213800,18955200
2023-08-11,169.93540954589844,35.03336715698242,0.0,0.0,170.03314888758894,35.266661637136195,167.7556119218024,34.59593537150797,168.59624781940943,34.62509625448997,0.0,0.0,45904100,16604800
2023-08-14,169.53463745117188,35.062522888183594,0.0,0.0,171.64600410588943,35.49023184438763,167.88268895507912,34.81950567731005,169.61283787340645,34.81950567731005,0.0,0.0,64036900,20295500
2023-08-15,169.0458984375,34.401519775390625,0.0,0.0,170.62941599378146,34.90699607772144,168.2639091190775,34.3723588933048,168.9090514254165,34.87783519563561,0.0,0.0,88958100,20484300
2023-08-16,168.50828552246094,34.4890022277832,0.0,0.0,170.79559205081435,34.65425585992028,168.25414532437927,34.012690569575916,168.645132539152,34.15849867165742,0.0,0.0,85832700,22215600
